,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
174,8.178860640525818,0.37792161646321226,0.0027364253997802734,0.00028687742057112746,0.1,squared_error,150,25,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 25, 'min_samples_split': 8, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
130,8.175017261505127,0.27295660706109637,0.002847099304199219,0.00017745769519876239,0.1,squared_error,131,25,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 25, 'min_samples_split': 4, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
48,7.6901915788650514,0.2319169882456885,0.0027428627014160155,0.00010713864582902751,0.1,squared_error,93,25,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 25, 'min_samples_split': 2, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
128,8.448594069480896,0.6206441668738605,0.003139686584472656,0.0006264424714172486,0.1,squared_error,131,25,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 131, 'min_samples_leaf': 25, 'min_samples_split': 2, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
168,7.721719336509705,0.4014541691061262,0.002731060981750488,0.00012572471797373644,0.1,squared_error,150,25,2,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 25, 'min_samples_split': 2, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
50,7.891121172904969,0.20769036674823163,0.0027399539947509767,0.00017896683195994556,0.1,squared_error,93,25,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 25, 'min_samples_split': 4, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
170,7.884246492385865,0.32159086261798114,0.002811121940612793,0.0002009346762430241,0.1,squared_error,150,25,4,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 25, 'min_samples_split': 4, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
52,8.067984318733215,0.2924819396531629,0.004069614410400391,0.0026210446852440276,0.1,squared_error,93,25,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 25, 'min_samples_split': 6, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
54,8.12576720714569,0.20308962716009096,0.002874898910522461,0.0003204086660802301,0.1,squared_error,93,25,8,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 93, 'min_samples_leaf': 25, 'min_samples_split': 8, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
172,7.826710748672485,0.2249940494323247,0.002672576904296875,0.00023469584395516337,0.1,squared_error,150,25,6,best,"{'ccp_alpha': 0.1, 'criterion': 'squared_error', 'max_depth': 150, 'min_samples_leaf': 25, 'min_samples_split': 6, 'splitter': 'best'}",-18.495618574607484,-19.389594341205846,-18.7487040094286,-18.982252100017643,-18.981067026266505,-18.455522274810964,-18.877338877617916,-18.723606138803007,-18.73702648244973,-19.035303546915816,-18.842603337212353,0.26087681398989765,1
